comparison,metric,fold_k,value_A,value_B,delta
lgbm S+T+C - lgbm S+T,pr_auc,27,0.014717655684157447,0.014088633777180868,0.0006290219069765794
lgbm S+T+C - lgbm S+T,pr_auc,28,0.02832848022119086,0.055905041920841295,-0.027576561699650434
lgbm S+T+C - lgbm S+T,pr_auc,29,0.012654500936337514,0.024274809306388805,-0.011620308370051291
lgbm S+T+C - lgbm S+T,pr_auc,30,0.005463880678637494,0.004816435817500531,0.0006474448611369634
lgbm S+T+C - lgbm S+T,pr_auc,31,0.019546933554998522,0.010805308282119033,0.00874162527287949
lgbm S+T+C - lgbm S+T,pr_auc,32,0.00012760056059016268,0.00011912677662196132,8.473783968201363e-06
lgbm S+T+C - lgbm S+T,pr_auc,33,0.000356051154320164,0.00029146145705352775,6.458969726663624e-05
lgbm S+T+C - lgbm S+T,pr_auc,34,0.043392798042413375,0.06663693821812795,-0.023244140175714578
lgbm S+T+C - lgbm S+T,pr_auc,35,0.0017375750305954232,0.0011953555936431437,0.0005422194369522795
lgbm S+T+C - lgbm S+T,pr_auc,36,0.015451575973019016,0.01282834470826337,0.0026232312647556464
lgbm S+T+C - lgbm S+T,pr_auc,37,0.007714032176370228,0.00318756599912051,0.004526466177249718
lgbm S+T+C - lgbm S+T,pr_auc,38,0.000672743449768385,0.0003373298375869345,0.0003354136121814505
lgbm S+T+C - lgbm S+T,pr_auc,39,0.014700309880572564,0.05633313061123951,-0.041632820730666945
lgbm S+T+C - lgbm S+T,pr_auc,40,0.01480881182154797,0.00893173277958699,0.00587707904196098
lgbm S+T+C - lgbm S+T,pr_auc,41,0.007625475630966249,0.005508448858436616,0.0021170267725296333
lgbm S+T+C - lgbm S+T,pr_auc,42,0.0046517505308183845,0.0055817158139435455,-0.000929965283125161
lgbm S+T+C - lgbm S+T,pr_auc,43,0.00193568358693113,0.0016199561684589164,0.0003157274184722137
lgbm S+T+C - lgbm S+T,pr_auc,44,0.007519482290374972,0.005078741352263326,0.002440740938111647
lgbm S+T+C - lgbm S+T,pr_auc,45,0.06369488198936406,0.10223138546698855,-0.038536503477624495
lgbm S+T+C - lgbm S+T,pr_auc,46,0.005822624525469057,0.003853694325562225,0.0019689301999068322
lgbm S+T+C - lgbm S+T,pr_auc,47,0.006542083571510412,0.012686233993087477,-0.006144150421577065
lgbm S+T+C - lgbm S+T,pr_auc,48,0.01659861783989695,0.06704755665899434,-0.050448938819097386
lgbm S+T+C - lgbm S+T,pr_auc,49,0.003157374494837841,0.004184937581984122,-0.001027563087146281
lgbm S+T+C - lgbm S+T,p@50,25,0.02,0.04,-0.02
lgbm S+T+C - lgbm S+T,p@50,26,0.0,0.0,0.0
lgbm S+T+C - lgbm S+T,p@50,27,0.06,0.04,0.019999999999999997
lgbm S+T+C - lgbm S+T,p@50,28,0.06,0.06,0.0
lgbm S+T+C - lgbm S+T,p@50,29,0.04,0.06,-0.019999999999999997
lgbm S+T+C - lgbm S+T,p@50,30,0.0,0.0,0.0
lgbm S+T+C - lgbm S+T,p@50,31,0.04,0.02,0.02
lgbm S+T+C - lgbm S+T,p@50,32,0.0,0.0,0.0
lgbm S+T+C - lgbm S+T,p@50,33,0.0,0.0,0.0
lgbm S+T+C - lgbm S+T,p@50,34,0.04,0.06,-0.019999999999999997
lgbm S+T+C - lgbm S+T,p@50,35,0.0,0.0,0.0
