fold_k,model,feature_set,n_train_pairs,n_train_pos,n_test_pairs,n_test_pos,fit_seconds,roc_auc,pr_auc,p@50,p@100
42,recency_only,heuristic,4338483,428,143605,21,0.09775614738464355,0.9624447477899116,0.027407746867018933,0.06,0.03
42,victim_risk_only,heuristic,4338483,428,143605,21,0.063507080078125,0.7742323723561187,0.0006232056435281105,0.0,0.0
42,issuer_risk_only,heuristic,4338483,428,143605,21,0.06341886520385742,0.8651177807316375,0.0008465618643010853,0.0,0.0
42,structural_heuristic,heuristic,4338483,428,143605,21,0.08109688758850098,0.6589346737134791,0.0004036546667265958,0.0,0.0
42,lgbm,S,4338483,428,143605,21,1.100926160812378,0.8216232475829645,0.0018858636233638891,0.0,0.01
42,lgbm,S+T,4338483,428,143605,21,1.3401439189910889,0.9529255149797828,0.0055817158139435455,0.02,0.01
42,lgbm,S+T+C,4338483,428,143605,21,1.494624137878418,0.9629140267651523,0.0046517505308183845,0.02,0.01
43,recency_only,heuristic,4524880,448,119561,14,0.0825202465057373,0.9213301044777368,0.001096685441275205,0.0,0.0
43,victim_risk_only,heuristic,4524880,448,119561,14,0.0511479377746582,0.6553202625626025,0.0003221082638980445,0.0,0.0
43,issuer_risk_only,heuristic,4524880,448,119561,14,0.051425933837890625,0.7933347195185634,0.0007788563584439684,0.0,0.0
43,structural_heuristic,heuristic,4524880,448,119561,14,0.06992793083190918,0.7772773768595496,0.0018887824976546092,0.0,0.0
43,lgbm,S,4524880,448,119561,14,1.1659090518951416,0.8353164147036014,0.0031379678132380444,0.02,0.01
43,lgbm,S+T,4524880,448,119561,14,1.2906990051269531,0.9049345804220457,0.0016199561684589164,0.0,0.0
43,lgbm,S+T+C,4524880,448,119561,14,1.3291890621185303,0.9070455254299266,0.00193568358693113,0.0,0.0
44,recency_only,heuristic,4668485,469,114482,41,0.08009624481201172,0.8535194724899251,0.007027141440808873,0.02,0.03
44,victim_risk_only,heuristic,4668485,469,114482,41,0.048573970794677734,0.6842745255250283,0.0010266141039513429,0.0,0.0
44,issuer_risk_only,heuristic,4668485,469,114482,41,0.05009317398071289,0.773008181231313,0.0014440396479132704,0.0,0.0
44,structural_heuristic,heuristic,4668485,469,114482,41,0.0652158260345459,0.783687877511066,0.002953027587630848,0.02,0.01
